Invoice,Quantity,InvoiceDate,Price,Customer ID
489444,1,2009-12-01 09:55:00,141.0,12636.0
C489459,-3,2009-12-01 10:44:00,4.25,17592.0
C489459,-3,2009-12-01 10:44:00,4.25,17592.0
C489459,-3,2009-12-01 10:44:00,4.25,17592.0
C489459,-3,2009-12-01 10:44:00,4.25,17592.0
C489459,-3,2009-12-01 10:44:00,4.25,17592.0
C489459,-3,2009-12-01 10:44:00,4.25,17592.0
C489459,-3,2009-12-01 10:44:00,4.25,17592.0
C489459,-3,2009-12-01 10:44:00,3.75,17592.0
C489459,-3,2009-12-01 10:44:00,3.75,17592.0
C489459,-3,2009-12-01 10:44:00,3.75,17592.0
C489459,-3,2009-12-01 10:44:00,2.1,17592.0
C489459,-3,2009-12-01 10:44:00,2.1,17592.0
C489459,-2,2009-12-01 10:44:00,6.35,17592.0
489460,8,2009-12-01 10:46:00,6.75,16167.0
489460,24,2009-12-01 10:46:00,0.55,16167.0
489460,24,2009-12-01 10:46:00,0.55,16167.0
489460,6,2009-12-01 10:46:00,2.95,16167.0
489460,6,2009-12-01 10:46:00,2.95,16167.0
489460,4,2009-12-01 10:46:00,6.75,16167.0
489460,3,2009-12-01 10:46:00,5.95,16167.0
489460,8,2009-12-01 10:46:00,1.65,16167.0
489460,576,2009-12-01 10:46:00,0.21,16167.0
489460,8,2009-12-01 10:46:00,6.75,16167.0
489460,3,2009-12-01 10:46:00,4.95,16167.0
489460,3,2009-12-01 10:46:00,4.95,16167.0
489460,4,2009-12-01 10:46:00,6.75,16167.0
489460,12,2009-12-01 10:46:00,1.65,16167.0
489460,288,2009-12-01 10:46:00,0.21,16167.0
489462,3,2009-12-01 10:49:00,4.25,17592.0
489462,3,2009-12-01 10:49:00,4.25,17592.0
489462,3,2009-12-01 10:49:00,4.25,17592.0
489462,3,2009-12-01 10:49:00,4.25,17592.0
489462,3,2009-12-01 10:49:00,4.25,17592.0
489462,3,2009-12-01 10:49:00,4.25,17592.0
489462,3,2009-12-01 10:49:00,4.25,17592.0
489462,3,2009-12-01 10:49:00,3.75,17592.0
489462,3,2009-12-01 10:49:00,3.75,17592.0
489462,3,2009-12-01 10:49:00,3.75,17592.0
489462,3,2009-12-01 10:49:00,2.1,17592.0
489462,3,2009-12-01 10:49:00,2.1,17592.0
489462,2,2009-12-01 10:49:00,6.35,17592.0
489465,12,2009-12-01 10:52:00,4.95,13767.0
489465,12,2009-12-01 10:52:00,4.95,13767.0
489465,12,2009-12-01 10:52:00,4.95,13767.0
489465,12,2009-12-01 10:52:00,4.95,13767.0
489465,12,2009-12-01 10:52:00,4.95,13767.0
489465,4,2009-12-01 10:52:00,14.95,13767.0
489465,12,2009-12-01 10:52:00,5.95,13767.0
489465,64,2009-12-01 10:52:00,2.55,13767.0
489465,20,2009-12-01 10:52:00,2.95,13767.0
489465,8,2009-12-01 10:52:00,2.1,13767.0
489465,8,2009-12-01 10:52:00,2.1,13767.0
489465,8,2009-12-01 10:52:00,2.1,13767.0
489465,12,2009-12-01 10:52:00,2.1,13767.0
489465,4,2009-12-01 10:52:00,6.75,13767.0
489465,12,2009-12-01 10:52:00,3.95,13767.0
489465,8,2009-12-01 10:52:00,2.95,13767.0
489465,24,2009-12-01 10:52:00,4.25,13767.0
489465,4,2009-12-01 10:52:00,9.95,13767.0
489465,160,2009-12-01 10:52:00,1.45,13767.0
489514,72,2009-12-01 11:21:00,1.06,15311.0
489514,36,2009-12-01 11:21:00,2.55,15311.0
489514,24,2009-12-01 11:21:00,4.25,15311.0
489514,24,2009-12-01 11:21:00,2.75,15311.0
489514,8,2009-12-01 11:21:00,8.5,15311.0
489514,32,2009-12-01 11:21:00,1.25,15311.0
489514,10,2009-12-01 11:21:00,5.95,15311.0
489514,8,2009-12-01 11:21:00,10.95,15311.0
489514,8,2009-12-01 11:21:00,3.95,15311.0
489514,50,2009-12-01 11:21:00,1.65,15311.0
489514,1,2009-12-01 11:21:00,1.25,15311.0
489514,5,2009-12-01 11:21:00,2.95,15311.0
489514,2,2009-12-01 11:21:00,1.25,15311.0
489514,1,2009-12-01 11:21:00,2.1,15311.0
489514,3,2009-12-01 11:21:00,1.45,15311.0
489514,2,2009-12-01 11:21:00,1.25,15311.0
489514,2,2009-12-01 11:21:00,1.25,15311.0
489514,3,2009-12-01 11:21:00,2.1,15311.0
489514,2,2009-12-01 11:21:00,2.1,15311.0
489514,3,2009-12-01 11:21:00,0.85,15311.0
489514,2,2009-12-01 11:21:00,1.25,15311.0
489514,2,2009-12-01 11:21:00,1.25,15311.0
489514,3,2009-12-01 11:21:00,2.1,15311.0
489514,2,2009-12-01 11:21:00,1.69,15311.0
489514,5,2009-12-01 11:21:00,2.1,15311.0
489514,2,2009-12-01 11:21:00,3.75,15311.0
489514,2,2009-12-01 11:21:00,2.95,15311.0
489514,1,2009-12-01 11:21:00,7.95,15311.0
489514,2,2009-12-01 11:21:00,4.65,15311.0
489514,3,2009-12-01 11:21:00,3.75,15311.0
489514,3,2009-12-01 11:21:00,1.69,15311.0
489514,3,2009-12-01 11:21:00,0.85,15311.0
489523,800,2009-12-01 11:46:00,1.45,12931.0
C489528,-1,2009-12-01 11:50:00,7.95,16714.0
489532,12,2009-12-01 11:58:00,1.25,13394.0
489532,48,2009-12-01 11:58:00,0.29,13394.0
489532,48,2009-12-01 11:58:00,0.29,13394.0
489532,60,2009-12-01 11:58:00,0.21,13394.0
489532,6,2009-12-01 11:58:00,2.95,13394.0
489532,6,2009-12-01 11:58:00,2.95,13394.0
489532,3,2009-12-01 11:58:00,4.95,13394.0
489532,6,2009-12-01 11:58:00,2.55,13394.0
489532,3,2009-12-01 11:58:00,4.95,13394.0
489532,24,2009-12-01 11:58:00,0.55,13394.0
489532,24,2009-12-01 11:58:00,0.55,13394.0
489532,12,2009-12-01 11:58:00,0.85,13394.0
489532,24,2009-12-01 11:58:00,0.85,13394.0
489532,12,2009-12-01 11:58:00,0.42,13394.0
489532,6,2009-12-01 11:58:00,3.75,13394.0
489532,6,2009-12-01 11:58:00,3.75,13394.0
489532,9,2009-12-01 11:58:00,1.65,13394.0
489532,2,2009-12-01 11:58:00,12.75,13394.0
489532,30,2009-12-01 11:58:00,0.21,13394.0
489532,12,2009-12-01 11:58:00,1.25,13394.0
C489541,-4,2009-12-01 12:18:00,2.95,15091.0
C489554,-3,2009-12-01 12:43:00,4.25,13767.0
C489554,-2,2009-12-01 12:43:00,2.95,13767.0
489566,6,2009-12-01 13:16:00,6.35,17742.0
489566,3,2009-12-01 13:16:00,5.95,17742.0
489566,2,2009-12-01 13:16:00,8.5,17742.0
489566,4,2009-12-01 13:16:00,12.75,17742.0
489566,2,2009-12-01 13:16:00,18.95,17742.0
489566,2,2009-12-01 13:16:00,12.75,17742.0
489566,8,2009-12-01 13:16:00,1.95,17742.0
489566,8,2009-12-01 13:16:00,1.95,17742.0
489569,1,2009-12-01 13:20:00,7.95,14478.0
489569,6,2009-12-01 13:20:00,1.25,14478.0
489569,1,2009-12-01 13:20:00,8.95,14478.0
489569,24,2009-12-01 13:20:00,1.25,14478.0
489569,5,2009-12-01 13:20:00,2.95,14478.0
489569,36,2009-12-01 13:20:00,0.85,14478.0
489569,12,2009-12-01 13:20:00,1.25,14478.0
489569,1,2009-12-01 13:20:00,9.95,14478.0
489569,36,2009-12-01 13:20:00,0.42,14478.0
489569,48,2009-12-01 13:20:00,0.42,14478.0
489569,36,2009-12-01 13:20:00,0.42,14478.0
489569,48,2009-12-01 13:20:00,0.42,14478.0
489569,2,2009-12-01 13:20:00,6.75,14478.0
489569,6,2009-12-01 13:20:00,1.25,14478.0
489569,36,2009-12-01 13:20:00,0.42,14478.0
489569,12,2009-12-01 13:20:00,3.75,14478.0
489569,1,2009-12-01 13:20:00,4.95,14478.0
489569,1,2009-12-01 13:20:00,0.95,14478.0
489573,3,2009-12-01 13:29:00,6.75,15051.0
489573,24,2009-12-01 13:29:00,1.25,15051.0
489573,12,2009-12-01 13:29:00,0.42,15051.0
489573,1,2009-12-01 13:29:00,2.95,15051.0
489573,12,2009-12-01 13:29:00,0.42,15051.0
489573,12,2009-12-01 13:29:00,1.25,15051.0
489573,6,2009-12-01 13:29:00,1.65,15051.0
489573,24,2009-12-01 13:29:00,1.65,15051.0
489573,3,2009-12-01 13:29:00,3.75,15051.0
489573,4,2009-12-01 13:29:00,3.75,15051.0
489573,5,2009-12-01 13:29:00,5.95,15051.0
489573,12,2009-12-01 13:29:00,0.85,15051.0
489573,1,2009-12-01 13:29:00,3.75,15051.0
489573,30,2009-12-01 13:29:00,1.25,15051.0
489573,1,2009-12-01 13:29:00,1.25,15051.0
489573,12,2009-12-01 13:29:00,2.55,15051.0
489573,12,2009-12-01 13:29:00,0.42,15051.0
489573,4,2009-12-01 13:29:00,3.75,15051.0
489573,1,2009-12-01 13:29:00,2.55,15051.0
489573,4,2009-12-01 13:29:00,3.75,15051.0
489573,4,2009-12-01 13:29:00,3.75,15051.0
489573,4,2009-12-01 13:29:00,3.75,15051.0
489573,11,2009-12-01 13:29:00,2.95,15051.0
489573,3,2009-12-01 13:29:00,4.95,15051.0
489573,7,2009-12-01 13:29:00,6.95,15051.0
